index,mid,display_name,Map
0,/m/09x0r,Speech,Speech
1,/m/0ytgt,"Child speech, kid speaking",Speech
2,/m/01h8n0,Conversation,Speech
3,/m/02qldy,"Narration, monologue",Speech
4,/m/0261r1,Babbling,Speech
5,/m/0brhx,Speech synthesizer,Speech
6,/m/07p6fty,Shout,Expression
7,/m/07q4ntr,Bellow,Expression
8,/m/07rwj3x,Whoop,Expression
9,/m/07sr1lc,Yell,Expression
10,/t/dd00135,Children shouting,Expression
11,/m/03qc9zr,Screaming,Expression
12,/m/02rtxlg,Whispering,Expression
13,/m/01j3sz,Laughter,Expression
14,/t/dd00001,Baby laughter,Expression
15,/m/07r660_,Giggle,Expression
16,/m/07s04w4,Snicker,Expression
17,/m/07sq110,Belly laugh,Expression
18,/m/07rgt08,"Chuckle, chortle",Expression
19,/m/0463cq4,"Crying, sobbing",Expression
20,/t/dd00002,"Baby cry, infant cry",Expression
21,/m/07qz6j3,Whimper,Expression
22,/m/07qw_06,"Wail, moan",Expression
23,/m/07plz5l,Sigh,Expression
24,/m/015lz1,Singing,Human Activities
25,/m/0l14jd,Choir,Human Activities
26,/m/01swy6,Yodeling,Human Activities
27,/m/02bk07,Chant,Human Activities
28,/m/01c194,Mantra,Human Activities
29,/t/dd00005,Child singing,Human Activities
30,/t/dd00006,Synthetic singing,Human Activities
31,/m/06bxc,Rapping,Human Activities
32,/m/02fxyj,Humming,Human Activities
33,/m/07s2xch,Groan,Human Activities
34,/m/07r4k75,Grunt,Human Activities
35,/m/01w250,Whistling,Human Activities
36,/m/0lyf6,Breathing,Human Activities
37,/m/07mzm6,Wheeze,Human Activities
38,/m/01d3sd,Snoring,Human Activities
39,/m/07s0dtb,Gasp,Human Activities
40,/m/07pyy8b,Pant,Human Activities
41,/m/07q0yl5,Snort,Human Activities
42,/m/01b_21,Cough,Human Activities
43,/m/0dl9sf8,Throat clearing,Human Activities
44,/m/01hsr_,Sneeze,Human Activities
45,/m/07ppn3j,Sniff,Human Activities
46,/m/06h7j,Run,Human Activities
47,/m/07qv_x_,Shuffle,Human Activities
48,/m/07pbtc8,"Walk, footsteps",Human Activities
49,/m/03cczk,"Chewing, mastication",Human Activities
50,/m/07pdhp0,Biting,Human Activities
51,/m/0939n_,Gargling,Human Activities
52,/m/01g90h,Stomach rumble,Human Activities
53,/m/03q5_w,"Burping, eructation",Human Activities
54,/m/02p3nc,Hiccup,Human Activities
55,/m/02_nn,Fart,Human Activities
56,/m/0k65p,Hands,Human Activities
57,/m/025_jnm,Finger snapping,Human Activities
58,/m/0l15bq,Clapping,Human Activities
59,/m/01jg02,"Heart sounds, heartbeat",Human Activities
60,/m/01jg1z,Heart murmur,Human Activities
61,/m/053hz1,Cheering,Human Activities
62,/m/028ght,Applause,Human Activities
63,/m/07rkbfh,Chatter,Human Activities
64,/m/03qtwd,Crowd,Human Activities
65,/m/07qfr4h,"Hubbub, speech noise, speech babble",Human Activities
66,/t/dd00013,Children playing,Human Activities
67,/m/0jbk,Animal,Animal Sound
68,/m/068hy,"Domestic animals, pets",Animal Sound
69,/m/0bt9lr,Dog,Animal Sound
70,/m/05tny_,Bark,Animal Sound
71,/m/07r_k2n,Yip,Animal Sound
72,/m/07qf0zm,Howl,Animal Sound
73,/m/07rc7d9,Bow-wow,Animal Sound
74,/m/0ghcn6,Growling,Animal Sound
75,/t/dd00136,Whimper (dog),Animal Sound
76,/m/01yrx,Cat,Animal Sound
77,/m/02yds9,Purr,Animal Sound
78,/m/07qrkrw,Meow,Animal Sound
79,/m/07rjwbb,Hiss,Animal Sound
80,/m/07r81j2,Caterwaul,Animal Sound
81,/m/0ch8v,"Livestock, farm animals, working animals",Animal Sound
82,/m/03k3r,Horse,Animal Sound
83,/m/07rv9rh,Clip-clop,Animal Sound
84,/m/07q5rw0,"Neigh, whinny",Animal Sound
85,/m/01xq0k1,"Cattle, bovinae",Animal Sound
86,/m/07rpkh9,Moo,Animal Sound
87,/m/0239kh,Cowbell,Animal Sound
88,/m/068zj,Pig,Animal Sound
89,/t/dd00018,Oink,Animal Sound
90,/m/03fwl,Goat,Animal Sound
91,/m/07q0h5t,Bleat,Animal Sound
92,/m/07bgp,Sheep,Animal Sound
93,/m/025rv6n,Fowl,Animal Sound
94,/m/09b5t,"Chicken, rooster",Animal Sound
95,/m/07st89h,Cluck,Animal Sound
96,/m/07qn5dc,"Crowing, cock-a-doodle-doo",Animal Sound
97,/m/01rd7k,Turkey,Animal Sound
98,/m/07svc2k,Gobble,Animal Sound
99,/m/09ddx,Duck,Animal Sound
100,/m/07qdb04,Quack,Animal Sound
101,/m/0dbvp,Goose,Animal Sound
102,/m/07qwf61,Honk,Animal Sound
103,/m/01280g,Wild animals,Animal Sound
104,/m/0cdnk,"Roaring cats (lions, tigers)",Animal Sound
105,/m/04cvmfc,Roar,Animal Sound
106,/m/015p6,Bird,Animal Sound
107,/m/020bb7,"Bird vocalization, bird call, bird song",Animal Sound
108,/m/07pggtn,"Chirp, tweet",Animal Sound
109,/m/07sx8x_,Squawk,Animal Sound
110,/m/0h0rv,"Pigeon, dove",Animal Sound
111,/m/07r_25d,Coo,Animal Sound
112,/m/04s8yn,Crow,Animal Sound
113,/m/07r5c2p,Caw,Animal Sound
114,/m/09d5_,Owl,Animal Sound
115,/m/07r_80w,Hoot,Animal Sound
116,/m/05_wcq,"Bird flight, flapping wings",Animal Sound
117,/m/01z5f,"Canidae, dogs, wolves",Animal Sound
118,/m/06hps,"Rodents, rats, mice",Animal Sound
119,/m/04rmv,Mouse,Animal Sound
120,/m/07r4gkf,Patter,Animal Sound
121,/m/03vt0,Insect,Animal Sound
122,/m/09xqv,Cricket,Animal Sound
123,/m/09f96,Mosquito,Animal Sound
124,/m/0h2mp,"Fly, housefly",Animal Sound
125,/m/07pjwq1,Buzz,Animal Sound
126,/m/01h3n,"Bee, wasp, etc.",Animal Sound
127,/m/09ld4,Frog,Animal Sound
128,/m/07st88b,Croak,Animal Sound
129,/m/078jl,Snake,Animal Sound
130,/m/07qn4z3,Rattle,Animal Sound
131,/m/032n05,Whale vocalization,Animal Sound
132,/m/04rlf,Music,Music and Instrument
133,/m/04szw,Musical instrument,Music and Instrument
134,/m/0fx80y,Plucked string instrument,Music and Instrument
135,/m/0342h,Guitar,Music and Instrument
136,/m/02sgy,Electric guitar,Music and Instrument
137,/m/018vs,Bass guitar,Music and Instrument
138,/m/042v_gx,Acoustic guitar,Music and Instrument
139,/m/06w87,"Steel guitar, slide guitar",Music and Instrument
140,/m/01glhc,Tapping (guitar technique),Music and Instrument
141,/m/07s0s5r,Strum,Music and Instrument
142,/m/018j2,Banjo,Music and Instrument
143,/m/0jtg0,Sitar,Music and Instrument
144,/m/04rzd,Mandolin,Music and Instrument
145,/m/01bns_,Zither,Music and Instrument
146,/m/07xzm,Ukulele,Music and Instrument
147,/m/05148p4,Keyboard (musical),Music and Instrument
148,/m/05r5c,Piano,Music and Instrument
149,/m/01s0ps,Electric piano,Music and Instrument
150,/m/013y1f,Organ,Music and Instrument
151,/m/03xq_f,Electronic organ,Music and Instrument
152,/m/03gvt,Hammond organ,Music and Instrument
153,/m/0l14qv,Synthesizer,Music and Instrument
154,/m/01v1d8,Sampler,Music and Instrument
155,/m/03q5t,Harpsichord,Music and Instrument
156,/m/0l14md,Percussion,Music and Instrument
157,/m/02hnl,Drum kit,Music and Instrument
158,/m/0cfdd,Drum machine,Music and Instrument
159,/m/026t6,Drum,Music and Instrument
160,/m/06rvn,Snare drum,Music and Instrument
161,/m/03t3fj,Rimshot,Music and Instrument
162,/m/02k_mr,Drum roll,Music and Instrument
163,/m/0bm02,Bass drum,Music and Instrument
164,/m/011k_j,Timpani,Music and Instrument
165,/m/01p970,Tabla,Music and Instrument
166,/m/01qbl,Cymbal,Music and Instrument
167,/m/03qtq,Hi-hat,Music and Instrument
168,/m/01sm1g,Wood block,Music and Instrument
169,/m/07brj,Tambourine,Music and Instrument
170,/m/05r5wn,Rattle (instrument),Music and Instrument
171,/m/0xzly,Maraca,Music and Instrument
172,/m/0mbct,Gong,Music and Instrument
173,/m/016622,Tubular bells,Music and Instrument
174,/m/0j45pbj,Mallet percussion,Music and Instrument
175,/m/0dwsp,"Marimba, xylophone",Music and Instrument
176,/m/0dwtp,Glockenspiel,Music and Instrument
177,/m/0dwt5,Vibraphone,Music and Instrument
178,/m/0l156b,Steelpan,Music and Instrument
179,/m/05pd6,Orchestra,Music and Instrument
180,/m/01kcd,Brass instrument,Music and Instrument
181,/m/0319l,French horn,Music and Instrument
182,/m/07gql,Trumpet,Music and Instrument
183,/m/07c6l,Trombone,Music and Instrument
184,/m/0l14_3,Bowed string instrument,Music and Instrument
185,/m/02qmj0d,String section,Music and Instrument
186,/m/07y_7,"Violin, fiddle",Music and Instrument
187,/m/0d8_n,Pizzicato,Music and Instrument
188,/m/01xqw,Cello,Music and Instrument
189,/m/02fsn,Double bass,Music and Instrument
190,/m/085jw,"Wind instrument, woodwind instrument",Music and Instrument
191,/m/0l14j_,Flute,Music and Instrument
192,/m/06ncr,Saxophone,Music and Instrument
193,/m/01wy6,Clarinet,Music and Instrument
194,/m/03m5k,Harp,Music and Instrument
195,/m/0395lw,Bell,Music and Instrument
196,/m/03w41f,Church bell,Music and Instrument
197,/m/027m70_,Jingle bell,Music and Instrument
198,/m/0gy1t2s,Bicycle bell,Music and Instrument
199,/m/07n_g,Tuning fork,Music and Instrument
200,/m/0f8s22,Chime,Music and Instrument
201,/m/026fgl,Wind chime,Music and Instrument
202,/m/0150b9,Change ringing (campanology),Music and Instrument
203,/m/03qjg,Harmonica,Music and Instrument
204,/m/0mkg,Accordion,Music and Instrument
205,/m/0192l,Bagpipes,Music and Instrument
206,/m/02bxd,Didgeridoo,Music and Instrument
207,/m/0l14l2,Shofar,Music and Instrument
208,/m/07kc_,Theremin,Music and Instrument
209,/m/0l14t7,Singing bowl,Music and Instrument
210,/m/01hgjl,Scratching (performance technique),Music and Instrument
211,/m/064t9,Pop music,Music and Instrument
212,/m/0glt670,Hip hop music,Music and Instrument
213,/m/02cz_7,Beatboxing,Music and Instrument
214,/m/06by7,Rock music,Music and Instrument
215,/m/03lty,Heavy metal,Music and Instrument
216,/m/05r6t,Punk rock,Music and Instrument
217,/m/0dls3,Grunge,Music and Instrument
218,/m/0dl5d,Progressive rock,Music and Instrument
219,/m/07sbbz2,Rock and roll,Music and Instrument
220,/m/05w3f,Psychedelic rock,Music and Instrument
221,/m/06j6l,Rhythm and blues,Music and Instrument
222,/m/0gywn,Soul music,Music and Instrument
223,/m/06cqb,Reggae,Music and Instrument
224,/m/01lyv,Country,Music and Instrument
225,/m/015y_n,Swing music,Music and Instrument
226,/m/0gg8l,Bluegrass,Music and Instrument
227,/m/02x8m,Funk,Music and Instrument
228,/m/02w4v,Folk music,Music and Instrument
229,/m/06j64v,Middle Eastern music,Music and Instrument
230,/m/03_d0,Jazz,Music and Instrument
231,/m/026z9,Disco,Music and Instrument
232,/m/0ggq0m,Classical music,Music and Instrument
233,/m/05lls,Opera,Music and Instrument
234,/m/02lkt,Electronic music,Music and Instrument
235,/m/03mb9,House music,Music and Instrument
236,/m/07gxw,Techno,Music and Instrument
237,/m/07s72n,Dubstep,Music and Instrument
238,/m/0283d,Drum and bass,Music and Instrument
239,/m/0m0jc,Electronica,Music and Instrument
240,/m/08cyft,Electronic dance music,Music and Instrument
241,/m/0fd3y,Ambient music,Music and Instrument
242,/m/07lnk,Trance music,Music and Instrument
243,/m/0g293,Music of Latin America,Music and Instrument
244,/m/0ln16,Salsa music,Music and Instrument
245,/m/0326g,Flamenco,Music and Instrument
246,/m/0155w,Blues,Music and Instrument
247,/m/05fw6t,Music for children,Music and Instrument
248,/m/02v2lh,New-age music,Music and Instrument
249,/m/0y4f8,Vocal music,Music and Instrument
250,/m/0z9c,A capella,Music and Instrument
251,/m/0164x2,Music of Africa,Music and Instrument
252,/m/0145m,Afrobeat,Music and Instrument
253,/m/02mscn,Christian music,Music and Instrument
254,/m/016cjb,Gospel music,Music and Instrument
255,/m/028sqc,Music of Asia,Music and Instrument
256,/m/015vgc,Carnatic music,Music and Instrument
257,/m/0dq0md,Music of Bollywood,Music and Instrument
258,/m/06rqw,Ska,Music and Instrument
259,/m/02p0sh1,Traditional music,Music and Instrument
260,/m/05rwpb,Independent music,Music and Instrument
261,/m/074ft,Song,Music and Instrument
262,/m/025td0t,Background music,Music and Instrument
263,/m/02cjck,Theme music,Music and Instrument
264,/m/03r5q_,Jingle (music),Music and Instrument
265,/m/0l14gg,Soundtrack music,Music and Instrument
266,/m/07pkxdp,Lullaby,Music and Instrument
267,/m/01z7dr,Video game music,Music and Instrument
268,/m/0140xf,Christmas music,Music and Instrument
269,/m/0ggx5q,Dance music,Music and Instrument
270,/m/04wptg,Wedding music,Music and Instrument
271,/t/dd00031,Happy music,Music and Instrument
272,/t/dd00033,Sad music,Music and Instrument
273,/t/dd00034,Tender music,Music and Instrument
274,/t/dd00035,Exciting music,Music and Instrument
275,/t/dd00036,Angry music,Music and Instrument
276,/t/dd00037,Scary music,Music and Instrument
277,/m/03m9d0z,Wind,Nature Sound
278,/m/09t49,Rustling leaves,Nature Sound
279,/t/dd00092,Wind noise (microphone),Nature Sound
280,/m/0jb2l,Thunderstorm,Nature Sound
281,/m/0ngt1,Thunder,Nature Sound
282,/m/0838f,Water,Nature Sound
283,/m/06mb1,Rain,Nature Sound
284,/m/07r10fb,Raindrop,Nature Sound
285,/t/dd00038,Rain on surface,Nature Sound
286,/m/0j6m2,Stream,Nature Sound
287,/m/0j2kx,Waterfall,Nature Sound
288,/m/05kq4,Ocean,Nature Sound
289,/m/034srq,"Waves, surf",Nature Sound
290,/m/06wzb,Steam,Nature Sound
291,/m/07swgks,Gurgling,Nature Sound
292,/m/02_41,Fire,Nature Sound
293,/m/07pzfmf,Crackle,Nature Sound
294,/m/07yv9,Vehicle,Vehicles
295,/m/019jd,"Boat, Water vehicle",Vehicles
296,/m/0hsrw,"Sailboat, sailing ship",Vehicles
297,/m/056ks2,"Rowboat, canoe, kayak",Vehicles
298,/m/02rlv9,"Motorboat, speedboat",Vehicles
299,/m/06q74,Ship,Vehicles
300,/m/012f08,Motor vehicle (road),Vehicles
301,/m/0k4j,Car,Vehicles
302,/m/0912c9,"Vehicle horn, car horn, honking",Vehicles
303,/m/07qv_d5,Toot,Vehicles
304,/m/02mfyn,Car alarm,Vehicles
305,/m/04gxbd,"Power windows, electric windows",Vehicles
306,/m/07rknqz,Skidding,Vehicles
307,/m/0h9mv,Tire squeal,Vehicles
308,/t/dd00134,Car passing by,Vehicles
309,/m/0ltv,"Race car, auto racing",Vehicles
310,/m/07r04,Truck,Vehicles
311,/m/0gvgw0,Air brake,Vehicles
312,/m/05x_td,"Air horn, truck horn",Vehicles
313,/m/02rhddq,Reversing beeps,Vehicles
314,/m/03cl9h,"Ice cream truck, ice cream van",Vehicles
315,/m/01bjv,Bus,Vehicles
316,/m/03j1ly,Emergency vehicle,Vehicles
317,/m/04qvtq,Police car (siren),Vehicles
318,/m/012n7d,Ambulance (siren),Vehicles
319,/m/012ndj,"Fire engine, fire truck (siren)",Vehicles
320,/m/04_sv,Motorcycle,Vehicles
321,/m/0btp2,"Traffic noise, roadway noise",Vehicles
322,/m/06d_3,Rail transport,Vehicles
323,/m/07jdr,Train,Vehicles
324,/m/04zmvq,Train whistle,Vehicles
325,/m/0284vy3,Train horn,Vehicles
326,/m/01g50p,"Railroad car, train wagon",Vehicles
327,/t/dd00048,Train wheels squealing,Vehicles
328,/m/0195fx,"Subway, metro, underground",Vehicles
329,/m/0k5j,Aircraft,Vehicles
330,/m/014yck,Aircraft engine,Vehicles
331,/m/04229,Jet engine,Vehicles
332,/m/02l6bg,"Propeller, airscrew",Vehicles
333,/m/09ct_,Helicopter,Vehicles
334,/m/0cmf2,"Fixed-wing aircraft, airplane",Vehicles
335,/m/0199g,Bicycle,Vehicles
336,/m/06_fw,Skateboard,Vehicles
337,/m/02mk9,Engine,Vehicles
338,/t/dd00065,Light engine (high frequency),Vehicles
339,/m/08j51y,"Dental drill, dentist's drill",Vehicles
340,/m/01yg9g,Lawn mower,Vehicles
341,/m/01j4z9,Chainsaw,Vehicles
342,/t/dd00066,Medium engine (mid frequency),Vehicles
343,/t/dd00067,Heavy engine (low frequency),Vehicles
344,/m/01h82_,Engine knocking,Vehicles
345,/t/dd00130,Engine starting,Vehicles
346,/m/07pb8fc,Idling,Vehicles
347,/m/07q2z82,"Accelerating, revving, vroom",Vehicles
348,/m/02dgv,Door,Object Sound
349,/m/03wwcy,Doorbell,Object Sound
350,/m/07r67yg,Ding-dong,Object Sound
351,/m/02y_763,Sliding door,Object Sound
352,/m/07rjzl8,Slam,Object Sound
353,/m/07r4wb8,Knock,Object Sound
354,/m/07qcpgn,Tap,Object Sound
355,/m/07q6cd_,Squeak,Object Sound
356,/m/0642b4,Cupboard open or close,Object Sound
357,/m/0fqfqc,Drawer open or close,Object Sound
358,/m/04brg2,"Dishes, pots, and pans",Object Sound
359,/m/023pjk,"Cutlery, silverware",Object Sound
360,/m/07pn_8q,Chopping (food),Object Sound
361,/m/0dxrf,Frying (food),Object Sound
362,/m/0fx9l,Microwave oven,Object Sound
363,/m/02pjr4,Blender,Object Sound
364,/m/02jz0l,"Water tap, faucet",Object Sound
365,/m/0130jx,Sink (filling or washing),Object Sound
366,/m/03dnzn,Bathtub (filling or washing),Object Sound
367,/m/03wvsk,Hair dryer,Object Sound
368,/m/01jt3m,Toilet flush,Object Sound
369,/m/012xff,Toothbrush,Object Sound
370,/m/04fgwm,Electric toothbrush,Object Sound
371,/m/0d31p,Vacuum cleaner,Object Sound
372,/m/01s0vc,Zipper (clothing),Object Sound
373,/m/03v3yw,Keys jangling,Object Sound
374,/m/0242l,Coin (dropping),Object Sound
375,/m/01lsmm,Scissors,Object Sound
376,/m/02g901,"Electric shaver, electric razor",Object Sound
377,/m/05rj2,Shuffling cards,Object Sound
378,/m/0316dw,Typing,Object Sound
379,/m/0c2wf,Typewriter,Object Sound
380,/m/01m2v,Computer keyboard,Object Sound
381,/m/081rb,Writing,Object Sound
382,/m/07pp_mv,Alarm,Object Sound
383,/m/07cx4,Telephone,Object Sound
384,/m/07pp8cl,Telephone bell ringing,Object Sound
385,/m/01hnzm,Ringtone,Object Sound
386,/m/02c8p,"Telephone dialing, DTMF",Object Sound
387,/m/015jpf,Dial tone,Object Sound
388,/m/01z47d,Busy signal,Object Sound
389,/m/046dlr,Alarm clock,Object Sound
390,/m/03kmc9,Siren,Object Sound
391,/m/0dgbq,Civil defense siren,Object Sound
392,/m/030rvx,Buzzer,Object Sound
393,/m/01y3hg,"Smoke detector, smoke alarm",Object Sound
394,/m/0c3f7m,Fire alarm,Object Sound
395,/m/04fq5q,Foghorn,Object Sound
396,/m/0l156k,Whistle,Object Sound
397,/m/06hck5,Steam whistle,Object Sound
398,/t/dd00077,Mechanisms,Object Sound
399,/m/02bm9n,"Ratchet, pawl",Object Sound
400,/m/01x3z,Clock,Object Sound
401,/m/07qjznt,Tick,Object Sound
402,/m/07qjznl,Tick-tock,Object Sound
403,/m/0l7xg,Gears,Object Sound
404,/m/05zc1,Pulleys,Object Sound
405,/m/0llzx,Sewing machine,Object Sound
406,/m/02x984l,Mechanical fan,Object Sound
407,/m/025wky1,Air conditioning,Object Sound
408,/m/024dl,Cash register,Object Sound
409,/m/01m4t,Printer,Object Sound
410,/m/0dv5r,Camera,Object Sound
411,/m/07bjf,Single-lens reflex camera,Object Sound
412,/m/07k1x,Tools,Object Sound
413,/m/03l9g,Hammer,Object Sound
414,/m/03p19w,Jackhammer,Object Sound
415,/m/01b82r,Sawing,Object Sound
416,/m/02p01q,Filing (rasp),Object Sound
417,/m/023vsd,Sanding,Object Sound
418,/m/0_ksk,Power tool,Object Sound
419,/m/01d380,Drill,Object Sound
420,/m/014zdl,Explosion,Object Sound
421,/m/032s66,"Gunshot, gunfire",Object Sound
422,/m/04zjc,Machine gun,Object Sound
423,/m/02z32qm,Fusillade,Object Sound
424,/m/0_1c,Artillery fire,Object Sound
425,/m/073cg4,Cap gun,Object Sound
426,/m/0g6b5,Fireworks,Object Sound
427,/g/122z_qxw,Firecracker,Object Sound
428,/m/07qsvvw,"Burst, pop",Object Sound
429,/m/07pxg6y,Eruption,Object Sound
430,/m/07qqyl4,Boom,Object Sound
431,/m/083vt,Wood,Object Sound
432,/m/07pczhz,Chop,Object Sound
433,/m/07pl1bw,Splinter,Object Sound
434,/m/07qs1cx,Crack,Object Sound
435,/m/039jq,Glass,Object Sound
436,/m/07q7njn,"Chink, clink",Object Sound
437,/m/07rn7sz,Shatter,Object Sound
438,/m/04k94,Liquid,Object Sound
439,/m/07rrlb6,"Splash, splatter",Object Sound
440,/m/07p6mqd,Slosh,Object Sound
441,/m/07qlwh6,Squish,Object Sound
442,/m/07r5v4s,Drip,Object Sound
443,/m/07prgkl,Pour,Object Sound
444,/m/07pqc89,"Trickle, dribble",Object Sound
445,/t/dd00088,Gush,Object Sound
446,/m/07p7b8y,Fill (with liquid),Object Sound
447,/m/07qlf79,Spray,Object Sound
448,/m/07ptzwd,Pump (liquid),Object Sound
449,/m/07ptfmf,Stir,Object Sound
450,/m/0dv3j,Boiling,Object Sound
451,/m/0790c,Sonar,Object Sound
452,/m/0dl83,Arrow,Object Sound
453,/m/07rqsjt,"Whoosh, swoosh, swish",Object Sound
454,/m/07qnq_y,"Thump, thud",Object Sound
455,/m/07rrh0c,Thunk,Object Sound
456,/m/0b_fwt,Electronic tuner,Object Sound
457,/m/02rr_,Effects unit,Object Sound
458,/m/07m2kt,Chorus effect,Object Sound
459,/m/018w8,Basketball bounce,Object Sound
460,/m/07pws3f,Bang,Object Sound
461,/m/07ryjzk,"Slap, smack",Object Sound
462,/m/07rdhzs,"Whack, thwack",Object Sound
463,/m/07pjjrj,"Smash, crash",Object Sound
464,/m/07pc8lb,Breaking,Object Sound
465,/m/07pqn27,Bouncing,Object Sound
466,/m/07rbp7_,Whip,Object Sound
467,/m/07pyf11,Flap,Object Sound
468,/m/07qb_dv,Scratch,Object Sound
469,/m/07qv4k0,Scrape,Object Sound
470,/m/07pdjhy,Rub,Object Sound
471,/m/07s8j8t,Roll,Object Sound
472,/m/07plct2,Crushing,Object Sound
473,/t/dd00112,"Crumpling, crinkling",Object Sound
474,/m/07qcx4z,Tearing,Object Sound
475,/m/02fs_r,"Beep, bleep",Object Sound
476,/m/07qwdck,Ping,Object Sound
477,/m/07phxs1,Ding,Object Sound
478,/m/07rv4dm,Clang,Object Sound
479,/m/07s02z0,Squeal,Object Sound
480,/m/07qh7jl,Creak,Object Sound
481,/m/07qwyj0,Rustle,Object Sound
482,/m/07s34ls,Whir,Object Sound
483,/m/07qmpdm,Clatter,Object Sound
484,/m/07p9k1k,Sizzle,Object Sound
485,/m/07qc9xj,Clicking,Object Sound
486,/m/07rwm0c,Clickety-clack,Object Sound
487,/m/07phhsh,Rumble,Object Sound
488,/m/07qyrcz,Plop,Object Sound
489,/m/07qfgpx,"Jingle, tinkle",Object Sound
490,/m/07rcgpl,Hum,Object Sound
491,/m/07p78v5,Zing,Object Sound
492,/t/dd00121,Boing,Object Sound
493,/m/07s12q4,Crunch,Object Sound
494,/m/028v0c,Silence,Object Sound
495,/m/01v_m0,Sine wave,Object Sound
496,/m/0b9m1,Harmonic,Object Sound
497,/m/0hdsk,Chirp tone,Object Sound
498,/m/0c1dj,Sound effect,Object Sound
499,/m/07pt_g0,Pulse,Object Sound
500,/t/dd00125,"Inside, small room",Object Sound
501,/t/dd00126,"Inside, large room or hall",Object Sound
502,/t/dd00127,"Inside, public space",Object Sound
503,/t/dd00128,"Outside, urban or manmade",Object Sound
504,/t/dd00129,"Outside, rural or natural",Object Sound
505,/m/01b9nn,Reverberation,Object Sound
506,/m/01jnbd,Echo,Object Sound
507,/m/096m7z,Noise,Object Sound
508,/m/06_y0by,Environmental noise,Object Sound
509,/m/07rgkc5,Static,Object Sound
510,/m/06xkwv,Mains hum,Object Sound
511,/m/0g12c5,Distortion,Object Sound
512,/m/08p9q4,Sidetone,Object Sound
513,/m/07szfh9,Cacophony,Object Sound
514,/m/0chx_,White noise,Object Sound
515,/m/0cj0r,Pink noise,Object Sound
516,/m/07p_0gm,Throbbing,Object Sound
517,/m/01jwx6,Vibration,Object Sound
518,/m/07c52,Television,Object Sound
519,/m/06bz3,Radio,Object Sound
520,/m/07hvw1,Field recording,Object Sound
